Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
 -104.8839    61.2641    14.7055    -0.3922    -0.6513     0.6496     0.8265     0.0605     0.5597    -0.4038     0.7564     0.5145
 -105.2151    60.6633    15.3226    -0.3243    -0.6528     0.6846     0.9337    -0.1048     0.3424    -0.1518     0.7502     0.6435
 -105.4836    60.0532    15.9651    -0.2569    -0.6668     0.6995     0.9512    -0.3026     0.0608     0.1711     0.6810     0.7120
 -105.6949    59.4245    16.6122    -0.2021    -0.6915     0.6935     0.8093    -0.5167    -0.2793     0.5515     0.5048     0.6641
 -105.8640    58.7707    17.2443    -0.1672    -0.7226     0.6708     0.4723    -0.6559    -0.5888     0.8654     0.2184     0.4510
 -106.0106    58.0892    17.8489    -0.1539    -0.7538     0.6388     0.0682    -0.6531    -0.7542     0.9857    -0.0725     0.1519
 -106.1530    57.3814    18.4229    -0.1570    -0.7795     0.6064    -0.2424    -0.5648    -0.7888     0.9574    -0.2708    -0.1003
 -106.3027    56.6511    18.9715    -0.1665    -0.7969     0.5807    -0.3708    -0.4951    -0.7857     0.9137    -0.3462    -0.2130
 -106.4605    55.9035    19.5045    -0.1704    -0.8072     0.5652     0.1551    -0.5884    -0.7936     0.9731    -0.0475     0.2255
 -106.6160    55.1433    20.0302    -0.1580    -0.8150     0.5576     0.9278    -0.3158    -0.1987     0.3380     0.4859     0.8060
 -106.7497    54.3732    20.5513    -0.1223    -0.8254     0.5512     0.9555    -0.2481    -0.1596     0.2685     0.5072     0.8190
 -106.8376    53.5936    21.0616    -0.0613    -0.8415     0.5368     0.9328    -0.2397    -0.2692     0.3552     0.4842     0.7996
 -106.8577    52.8028    21.5471     0.0212    -0.8626     0.5055     0.8874    -0.2167    -0.4069     0.4605     0.4572     0.7609
 -106.7954    51.9980    21.9903     0.1149    -0.8840     0.4531     0.8225    -0.1711    -0.5424     0.5570     0.4350     0.7075
 -106.6476    51.1768    22.3762     0.2044    -0.9003     0.3843     0.7412    -0.1141    -0.6615     0.6394     0.4200     0.6440
 -106.4238    50.3386    22.6986     0.2746    -0.9091     0.3134     0.6485    -0.0656    -0.7584     0.7100     0.4115     0.5715
 -106.1445    49.4852    22.9643     0.3170    -0.9126     0.2581     0.5411    -0.0495    -0.8395     0.7789     0.4058     0.4782
 -105.8361    48.6218    23.1934     0.3310    -0.9145     0.2327     0.0784    -0.2191    -0.9725     0.9404     0.3402    -0.0009
 -105.5257    47.7557    23.4162     0.3213    -0.9150     0.2442    -0.5514     0.0289     0.8338    -0.7699    -0.4025    -0.4952
 -105.2343    46.8955    23.6654     0.2955    -0.9101     0.2904    -0.4540     0.1337     0.8809    -0.8406    -0.3921    -0.3737
 -104.9725    46.0496    23.9686     0.2639    -0.8949     0.3599    -0.3663     0.2522     0.8957    -0.8923    -0.3682    -0.2612
 -104.7383    45.2245    24.3402     0.2394    -0.8686     0.4338    -0.2207     0.3864     0.8955    -0.9455    -0.3101    -0.0992
 -104.5180    44.4235    24.7770     0.2339    -0.8380     0.4930     0.1195     0.5280     0.8408    -0.9649    -0.1377     0.2237
 -104.2900    43.6469    25.2589     0.2549    -0.8123     0.5246     0.8037     0.4797     0.3522    -0.5377     0.3318     0.7751
 -104.0298    42.8915    25.7535     0.3033    -0.7972     0.5219     0.9359     0.1461    -0.3206     0.1793     0.5857     0.7904
 -103.7161    42.1519    26.2246     0.3731    -0.7918     0.4835     0.8098     0.0235    -0.5863     0.4528     0.6103     0.6500
 -103.3358    41.4219    26.6413     0.4511    -0.7901     0.4151     0.6935     0.0175    -0.7203     0.5618     0.6127     0.5558
 -102.8867    40.6953    26.9859     0.5208    -0.7863     0.3324     0.5900     0.0502    -0.8058     0.6169     0.6158     0.4901
 -102.3778    39.9674    27.2583     0.5703    -0.7801     0.2573     0.4994     0.0807    -0.8626     0.6522     0.6204     0.4356
 -101.8267    39.2354    27.4748     0.5963    -0.7753     0.2082     0.4114     0.0725    -0.9086     0.6893     0.6274     0.3622
 -101.2554    38.4984    27.6629     0.6016    -0.7751     0.1931    -0.7441    -0.4559     0.4884    -0.2905    -0.4375    -0.8510
 -100.6852    37.7570    27.8529     0.5911    -0.7789     0.2096    -0.4925    -0.1426     0.8586    -0.6388    -0.6107    -0.4679
 -100.1318    37.0131    28.0690     0.5703    -0.7835     0.2467    -0.4842    -0.0780     0.8715    -0.6636    -0.6165    -0.4238
  -99.6023    36.2690    28.3230     0.5471    -0.7858     0.2883    -0.4855    -0.0173     0.8741    -0.6819    -0.6182    -0.3909
  -99.0941    35.5269    28.6110     0.5311    -0.7852     0.3185    -0.4270     0.0767     0.9010    -0.7319    -0.6145    -0.2946
  -98.5962    34.7895    28.9163     0.5305    -0.7824     0.3262     0.8047     0.3438    -0.4840     0.2665     0.5193     0.8120
  -98.0924    34.0595    29.2152     0.5492    -0.7767     0.3083     0.6665     0.1845    -0.7223     0.5041     0.6022     0.6190
  -97.5653    33.3406    29.4859     0.5848    -0.7650     0.2699     0.6544     0.2482    -0.7143     0.4795     0.5943     0.6457
  -97.0002    32.6377    29.7156     0.6304    -0.7433     0.2239     0.6736     0.3803    -0.6338     0.3860     0.5503     0.7404
  -96.3884    31.9573    29.9064     0.6782    -0.7105     0.1875     0.7124     0.5731    -0.4050     0.1803     0.4083     0.8949
  -95.7284    31.3076    30.0751     0.7228    -0.6683     0.1761     0.6681     0.7409     0.0695    -0.1769     0.0674     0.9819
  -95.0255    30.6980    30.2494     0.7607    -0.6183     0.1978     0.4519     0.7232     0.5223    -0.4660    -0.3079     0.8295
  -94.2894    30.1384    30.4600     0.7895    -0.5602     0.2509     0.2446     0.6621     0.7084    -0.5630    -0.4979     0.6597
  -93.5318    29.6386    30.7318     0.8073    -0.4928     0.3246     0.1102     0.6662     0.7376    -0.5798    -0.5597     0.5921
  -92.7625    29.2071    31.0761     0.8156    -0.4168     0.4013     0.0431     0.7354     0.6763    -0.5770    -0.5343     0.6178
  -91.9876    28.8506    31.4873     0.8206    -0.3353     0.4627     0.0605     0.8562     0.5132    -0.5682    -0.3932     0.7229
  -91.2076    28.5729    31.9428     0.8312    -0.2523     0.4955     0.1823     0.9655     0.1858    -0.5252    -0.0641     0.8485
  -90.4184    28.3747    32.4090     0.8537    -0.1705     0.4921     0.3277     0.9102    -0.2532    -0.4048     0.3774     0.8329
  -89.6125    28.2534    32.8488     0.8879    -0.0919     0.4509     0.3675     0.7312    -0.5747    -0.2769     0.6760     0.6829
  -88.7813    28.2029    33.2300     0.9263    -0.0197     0.3764     0.3186     0.5747    -0.7539    -0.2014     0.8182     0.5386
  -87.9185    28.2137    33.5319     0.9586     0.0408     0.2818     0.2330     0.4563    -0.8588    -0.1636     0.8889     0.4279
  -87.0217    28.2733    33.7469     0.9791     0.0849     0.1849     0.1450     0.3465    -0.9268    -0.1428     0.9342     0.3269
  -86.0940    28.3668    33.8796     0.9889     0.1105     0.0997     0.0753     0.2059    -0.9757    -0.1283     0.9723     0.1953
  -85.1441    28.4779    33.9402     0.9925     0.1185     0.0293     0.0301    -0.0049    -0.9995    -0.1183     0.9929    -0.0085
  -84.1850    28.5899    33.9385     0.9933     0.1110    -0.0323    -0.0051    -0.2378    -0.9713    -0.1155     0.9650    -0.2356
  -83.2318    28.6875    33.8772     0.9912     0.0901    -0.0972    -0.0584    -0.3607    -0.9308    -0.1190     0.9283    -0.3523
  -82.2996    28.7583    33.7494     0.9824     0.0583    -0.1774    -0.1437    -0.3707    -0.9176    -0.1193     0.9269    -0.3558
  -81.4012    28.7947    33.5401     0.9598     0.0195    -0.2799    -0.2582    -0.3286    -0.9085    -0.1096     0.9443    -0.3104
  -80.5446    28.7942    33.2317     0.9166    -0.0200    -0.3992    -0.3897    -0.2669    -0.8814    -0.0890     0.9635    -0.2525
  -79.7332    28.7604    32.8111     0.8541    -0.0519    -0.5176    -0.5170    -0.1941    -0.8337    -0.0571     0.9796    -0.1926
  -78.9653    28.7017    32.2774     0.7850    -0.0708    -0.6155    -0.6194    -0.1062    -0.7778    -0.0103     0.9918    -0.1272
  -78.2351    28.6296    31.6461     0.7267    -0.0759    -0.6828    -0.6835     0.0193    -0.7297     0.0685     0.9969    -0.0378
  -77.5346    28.5565    30.9485     0.6908    -0.0702    -0.7197    -0.6747     0.2954    -0.6764     0.2601     0.9528     0.1567
  -76.8550    28.4924    30.2257     0.6805    -0.0581    -0.7304     0.1666     0.9830     0.0770     0.7135    -0.1741     0.6787
  -76.1889    28.4424    29.5192     0.6930    -0.0448    -0.7195     0.6758     0.3879     0.6268     0.2510    -0.9206     0.2991
  -75.5309    28.4053    28.8596     0.7198    -0.0362    -0.6932     0.6928     0.1000     0.7142     0.0435    -0.9943     0.0971
